feature_idx,effect_size,p_value,pos_mean_change,neg_mean_change,pos_std_change,neg_std_change,p_value_fdr
0,-0.012485628404202788,0.9109089512581742,0.014136805,0.016498592,0.15181698,0.20990519,0.9387094935589345
1,0.294403524073661,0.008673015011599792,0.01258073,-0.04565115,0.14554958,0.22560926,0.02043213352425963
2,0.07856512003995726,0.4815457702705592,0.03445013,0.025546841,0.09907123,0.12151863,0.5811986157116846
3,-0.2364873741640583,0.03466780550145274,0.016004648,0.06982997,0.20011128,0.24343318,0.06509749297094304
4,-0.01330754196669907,0.9050712105491217,0.019007374,0.021146752,0.21565844,0.10755253,0.9342670560507063
5,0.07393585714085088,0.5077302785971413,-0.0070480914,-0.023133643,0.2420703,0.19802718,0.6036174209947438
6,0.22222290408519152,0.047078774497821586,0.058255814,0.02307115,0.117890514,0.17998472,0.0840848809635511
7,0.08301601972181938,0.4570826770981804,0.006210859,-0.009892369,0.24878299,0.14417817,0.5594075402742198
8,-0.5332709901026825,2.605617276340691e-06,-0.03745303,0.06077164,0.16739765,0.19388635,2.0419531308465826e-05
9,-0.10162118247793049,0.36275099454637505,-0.0048984666,0.00729867,0.0860494,0.13788109,0.46665454574810056
10,0.28252499613074306,0.011741842901981969,0.014531187,-0.039869547,0.15590109,0.21299632,0.026269099613847983
11,0.7913184466676364,7.767273662737167e-12,0.05078506,-0.07658136,0.16167608,0.15965012,2.4855275720758934e-10
12,0.4124888466534626,0.00025283954732049376,0.009221442,-0.006902998,0.038932543,0.039001085,0.0009907182262354041
13,0.4597172935782038,4.7303510065033536e-05,0.0276352,0.013116287,0.029263062,0.032911163,0.00023900720874964315
14,-0.3973427236005254,0.00041944998306156267,-0.05055394,0.0137961125,0.19017252,0.13864715,0.0015637746941324277
15,0.08868421031503514,0.42696945460139946,0.09394652,0.071595475,0.25857288,0.24619906,0.5303020895885966
16,0.12233176419062985,0.27337820778677835,-0.010360566,-0.034635883,0.1855865,0.20574304,0.3696381401060665
17,-0.5464808108299402,1.4929612660293347e-06,-0.02313452,0.056654014,0.14558484,0.14555404,1.2069413182216095e-05
18,0.4130791339231824,0.00024782363119507227,0.14608435,0.035358507,0.26000232,0.27205065,0.0009861582837192514
19,-0.46876368364984833,3.374408581187385e-05,-0.09282927,-0.017623749,0.15783931,0.16137065,0.00018135595955319172
