feature_idx,effect_size,p_value,pos_mean_change,neg_mean_change,pos_std_change,neg_std_change,p_value_fdr
0,-0.15752496152807138,0.7122756129709891,0.014182908,0.043379117,0.12801896,0.20136997,0.9863660531545235
1,0.2528979656844019,0.5547674945713785,0.014110817,-0.033004947,0.13257097,0.20090163,0.9863660531545235
2,0.1322615083731989,0.7567146682196956,0.034294035,0.020322165,0.088321745,0.10810518,0.9863660531545235
3,-0.2415667857341897,0.5725046809399013,0.018600337,0.06965171,0.18105611,0.21409298,0.9863660531545235
4,-0.0695916831171601,0.8704109188286641,0.017023213,0.027666803,0.2095675,0.08920029,0.9863660531545235
5,-0.06253140108437781,0.883452045267945,-0.006607943,0.006533025,0.22322486,0.1867479,0.9863660531545235
6,0.31044868739005343,0.4693309088375488,0.058385413,0.012321259,0.10536266,0.1600936,0.9863660531545235
7,0.1293818606041961,0.761838557456903,0.009401027,-0.013853357,0.24190897,0.110760756,0.9863660531545235
8,-0.5646981587915363,0.19414675869961062,-0.03779637,0.05980312,0.15841833,0.16957079,0.9863660531545235
9,0.011815602893215461,0.9778963330755417,-0.0037970096,-0.005166186,0.07927092,0.12618984,0.9987026380345958
10,0.37154785888210273,0.3877339632365655,0.01224442,-0.0554936,0.13627866,0.19392268,0.9863660531545235
11,0.8803006994781707,0.04860660332584654,0.050639465,-0.07740394,0.1434075,0.13671401,0.9863660531545235
12,0.5178937666067738,0.2323158848914963,0.009017332,-0.00991981,0.03757481,0.033374935,0.9863660531545235
13,0.5253667441165067,0.22586445508235553,0.027765188,0.012395563,0.027350796,0.028397499,0.9863660531545235
14,-0.4362088869356878,0.3121133772472109,-0.05139991,0.020206098,0.18469852,0.13803656,0.9863660531545235
15,-0.02011103123887392,0.9623876844910866,0.09441424,0.099443294,0.24700245,0.23475042,0.9934324485069281
16,0.026543899091199148,0.9503713141504018,-0.012185382,-0.017354233,0.17918256,0.19065918,0.9934324485069281
17,-0.6736452135541053,0.1243769607116861,-0.023170276,0.062107924,0.1236972,0.11968114,0.9863660531545235
18,0.42996713685276233,0.31892774187611683,0.14962529,0.03587819,0.252781,0.25358814,0.9863660531545235
19,-0.20546984946642943,0.6308559571620325,-0.0942342,-0.05875537,0.13537447,0.18092449,0.9863660531545235
20,0.03967812002047015,0.9258776285640165,0.027286433,0.01882731,0.21358792,0.19821796,0.9863660531545235
21,0.11904739065933084,0.7803176969660173,0.003608389,-0.022109862,0.17970338,0.22152694,0.9863660531545235
